IssueKey,Summary,IssueType,Status
TSC-1003,[이슈] extract 기동 시 읽어야 할 로그 시퀀스를 찾지 못함,버그,종료됨
TSC-999,[이슈] AFO 동작 중 Trace file 및 Alert log 과다 생성,버그,종료됨
TSC-991,[이슈] 동기화 장애,버그,진행 중
TSC-990,[이슈] Current Redo 전송하지 않음,버그,종료됨
TSC-984,[이슈]웹매니저 로그인 불가 ,버그,종료됨
TSC-983,[이슈] 추출 모듈 중단,버그,종료됨
TSC-982,[이슈] POST 모듈이 간헐적으로 적용할 trc 파일을 찾지 못함,버그,종료됨
TSC-978,[이슈] archive delete type => date 설정 시 아카이브 파일 삭제 실패,버그,종료됨
TSC-970,[개발요청] Ignore 처리한 레코드에 대한 웹매니저 알람 기능 추가,버그,종료됨
TSC-967,[이슈] CREATE-DROP 연속 발생 시 CREATE DDL 추출 누락,버그,종료됨
